Time spent on searching for item (3-300),How many times added to basket was clicked (from search page) (0-25),Time spent on individual product page,How many times added to basket was clicked (from inividual product pages) (0-25),How many times go to basket was clicked (0-5),How long spent on checkout (30-450),Purchase completed (churn) (yes/no),Basket Value
4,25,25,22,4,56,yes,188
4,21,17,22,5,48,yes,173
4,23,22,20,4,46,yes,174
3,23,10,24,4,33,yes,162
3,24,25,20,4,41,yes,183
3,20,16,21,4,58,yes,166
5,20,14,20,4,38,yes,179
8,22,12,22,4,48,yes,187
9,24,21,20,5,41,yes,161
7,23,25,24,4,38,yes,178
4,25,28,25,4,36,yes,168
9,20,14,23,5,57,yes,172
4,23,23,20,5,43,yes,176
5,20,14,24,5,49,no,173
4,20,24,24,5,48,yes,181
3,20,26,25,5,55,yes,176
7,25,23,22,5,44,yes,179
6,24,29,24,5,45,no,183
4,25,14,24,4,50,yes,178
9,21,21,24,4,34,yes,179
3,23,25,24,5,32,yes,179
6,24,25,21,4,41,yes,173
7,24,16,21,4,54,yes,172
6,24,13,22,4,49,yes,189
3,24,10,20,5,56,yes,180
8,25,14,24,5,50,yes,169
8,24,19,25,4,33,yes,177
6,22,14,20,5,50,yes,172
5,23,13,25,4,52,yes,191
9,24,11,20,4,45,yes,153
9,23,29,22,4,54,yes,168
6,22,19,24,4,36,no,173
4,22,28,24,5,42,yes,177
4,23,10,23,5,50,yes,187
9,20,14,25,5,39,yes,161
9,21,22,20,4,55,yes,186
8,20,13,20,5,36,yes,159
5,20,25,21,4,43,yes,187
3,25,25,23,5,55,no,158
4,20,11,21,4,34,no,155
9,24,26,21,4,32,yes,182
8,25,29,21,4,52,no,198
7,25,21,25,5,58,yes,189
8,22,27,25,5,40,yes,179
4,20,12,22,5,40,yes,190
4,22,10,22,5,47,yes,152
8,23,10,21,4,44,yes,195
3,21,28,23,5,41,yes,177
6,25,20,20,5,38,yes,183
4,23,14,25,4,39,yes,186
8,23,21,23,4,55,no,183
9,24,12,24,4,41,yes,178
8,21,10,25,5,46,yes,176
5,23,10,25,4,58,yes,187
6,23,17,22,4,35,yes,167
7,21,19,20,4,36,yes,194
3,21,20,20,5,43,yes,182
7,23,21,24,4,42,yes,167
6,21,22,24,5,37,yes,183
6,23,21,25,5,39,yes,178
6,23,23,21,4,38,yes,182
7,24,11,22,4,47,yes,184
9,20,28,22,5,56,yes,161
6,23,27,25,4,55,yes,177
8,22,12,23,4,31,yes,191
7,25,26,21,5,34,yes,171
6,20,17,25,5,58,yes,179
8,20,19,21,4,34,yes,173
9,20,11,21,5,35,yes,176
5,24,28,21,4,48,yes,178
9,23,18,25,4,37,yes,178
6,24,16,22,4,45,no,167
7,23,13,22,5,42,yes,182
4,24,27,21,4,30,yes,161
6,24,22,23,4,51,yes,164
4,25,20,20,4,49,yes,152
8,22,13,25,5,46,yes,163
5,24,13,20,5,36,yes,176
3,25,19,23,5,54,yes,180
9,21,14,25,5,42,yes,185
5,22,18,21,5,33,yes,162
6,24,12,22,4,33,yes,187
4,20,26,20,5,35,yes,184
9,21,12,24,5,57,yes,174
4,21,25,24,5,48,yes,191
7,25,13,23,4,58,yes,196
4,21,27,21,5,41,yes,167
7,22,26,20,5,51,yes,173
8,24,16,21,4,36,no,191
9,24,14,20,5,56,yes,183
9,20,21,23,4,39,yes,158
3,25,26,23,4,55,yes,185
6,20,22,24,4,48,yes,186
7,21,12,21,4,36,yes,184
3,20,18,25,4,59,yes,185
4,22,26,24,5,32,yes,186
4,24,26,21,4,42,yes,166
3,21,29,24,4,42,yes,168
9,20,25,25,5,47,yes,180
4,25,22,22,4,57,no,190
