Time spent on searching for item (3-300),How many times added to basket was clicked (from search page) (0-25),Time spent on individual product page,How many times added to basket was clicked (from inividual product pages) (0-25),How many times go to basket was clicked (0-5),How long spent on checkout (30-450),Purchase completed (churn) (yes/no),Basket Value
94,13,221,8,0,164,no,59
130,20,293,23,0,56,no,160
42,9,187,17,4,406,no,108
12,2,28,8,3,339,no,87
90,13,254,3,0,167,no,36
91,7,290,3,5,414,no,36
116,2,12,2,4,51,no,27
28,23,43,2,4,289,no,135
40,5,93,4,5,451,no,87
75,2,210,5,1,156,no,104
53,3,71,6,12,376,no,24
42,9,187,17,4,406,no,169
120,0,19,17,2,441,no,127
146,14,136,24,0,395,no,42
50,5,187,1,4,437,no,39
166,2,107,14,3,362,no,39
150,18,237,11,2,377,yes,51
94,13,221,8,0,164,no,77
102,18,226,2,2,354,yes,66
150,18,237,11,2,377,yes,50
91,7,290,3,5,414,no,89
50,24,47,7,0,354,yes,35
131,0,159,0,2,255,no,50
56,6,114,9,1,161,yes,58
91,18,44,17,2,178,no,69
137,3,92,1,2,420,no,117
34,22,218,11,1,121,no,41
34,22,218,11,1,121,no,76
87,19,30,0,1,198,yes,86
166,25,83,10,5,276,yes,26
41,19,261,11,2,426,no,88
45,24,177,22,1,399,no,38
35,10,200,18,5,295,yes,28
90,0,155,1,4,450,yes,159
87,19,30,0,1,198,yes,167
90,13,254,3,0,167,no,122
120,0,19,17,2,441,no,51
35,10,200,18,5,295,yes,31
53,3,71,6,12,376,no,100
40,5,93,4,5,451,no,67
118,2,169,12,3,95,yes,33
12,2,28,8,3,339,no,73
154,11,14,9,0,369,yes,25
90,0,155,1,4,450,yes,146
51,11,293,4,1,155,no,47
50,24,47,7,0,354,yes,96
12,2,28,8,3,339,no,52
41,19,261,11,2,426,no,77
120,0,19,17,2,441,no,80
10,14,15,3,5,,yes,39
50,5,187,1,4,437,no,169
130,4,192,7,2,434,no,115
166,25,83,10,5,276,yes,156
10,14,15,3,5,,yes,142
137,3,92,1,2,420,no,87
154,11,14,9,0,369,yes,150
166,25,83,10,5,276,yes,30
130,20,293,23,0,56,no,40
42,9,187,17,4,406,no,26
31,16,141,9,2,399,no,54
75,2,210,5,1,156,no,61
146,14,136,24,0,395,no,48
87,19,30,0,1,198,yes,126
102,18,226,2,2,354,yes,57
28,23,43,2,4,289,no,49
40,5,93,4,5,451,no,79
137,3,92,1,2,420,no,35
166,2,107,14,3,362,no,121
51,11,293,4,1,155,no,29
60,24,70,4,0,54,no,179
34,22,218,11,1,121,no,115
120,0,19,17,2,441,no,41
31,16,141,9,2,399,no,22
166,2,107,14,3,362,no,123
124,8,268,23,4,407,no,103
35,10,200,18,5,295,yes,107
90,13,254,3,0,167,no,115
10,14,15,3,5,,yes,29
56,8,290,14,1,256,yes,57
34,22,218,11,1,121,no,33
85,11,300,19,1,355,no,134
131,22,128,18,3,256,no,91
94,13,221,8,0,164,no,54
150,17,262,7,5,390,no,28
102,16,262,24,3,33,no,52
12,2,28,8,3,339,no,54
45,24,177,22,1,399,no,107
60,24,70,4,0,54,no,93
73,16,124,7,0,212,yes,140
34,22,218,11,1,121,no,71
28,23,43,2,4,289,no,33
51,11,293,4,1,155,no,104
34,22,218,11,1,121,no,113
166,2,107,14,3,362,no,82
120,0,19,17,2,441,no,115
131,0,159,0,2,255,no,73
73,16,124,7,0,212,yes,77
151,0,235,20,4,231,yes,65
45,24,177,22,1,399,no,24
154,11,14,9,0,369,yes,32
